"Step","Neg Only Experiment - MLM - FINAL - antonym-negation","Neg Only Experiment - MLM - FINAL - antonym-negation__MIN","Neg Only Experiment - MLM - FINAL - antonym-negation__MAX"
"0","0.51","0.51","0.51"
"1","0.528","0.528","0.528"
"2","0.526","0.526","0.526"
"3","0.512","0.512","0.512"
"4","0.53","0.53","0.53"
"5","0.52","0.52","0.52"
"6","0.516","0.516","0.516"
"7","0.504","0.504","0.504"
"8","0.506","0.506","0.506"
"9","0.506","0.506","0.506"
"10","0.522","0.522","0.522"
"11","0.502","0.502","0.502"
"12","0.518","0.518","0.518"
"13","0.512","0.512","0.512"
"14","0.506","0.506","0.506"
"15","0.502","0.502","0.502"
"16","0.512","0.512","0.512"
"17","0.506","0.506","0.506"
"18","0.508","0.508","0.508"
"19","0.514","0.514","0.514"
"20","0.506","0.506","0.506"
"21","0.512","0.512","0.512"
"22","0.508","0.508","0.508"
"23","0.508","0.508","0.508"
"24","0.506","0.506","0.506"
"25","0.51","0.51","0.51"
"26","0.506","0.506","0.506"
"27","0.508","0.508","0.508"
"28","0.514","0.514","0.514"
"29","0.504","0.504","0.504"
"30","0.506","0.506","0.506"
"31","0.51","0.51","0.51"
"32","0.508","0.508","0.508"
"33","0.506","0.506","0.506"
"34","0.506","0.506","0.506"
"35","0.506","0.506","0.506"
"36","0.506","0.506","0.506"
"37","0.508","0.508","0.508"
"38","0.504","0.504","0.504"
"39","0.506","0.506","0.506"
"40","0.51","0.51","0.51"
"41","0.504","0.504","0.504"
"42","0.512","0.512","0.512"
"43","0.506","0.506","0.506"
"44","0.504","0.504","0.504"
"45","0.506","0.506","0.506"
"46","0.508","0.508","0.508"
"47","0.508","0.508","0.508"
"48","0.504","0.504","0.504"
"49","0.506","0.506","0.506"
"50","0.506","0.506","0.506"
"51","0.512","0.512","0.512"
"52","0.506","0.506","0.506"
"53","0.504","0.504","0.504"
"54","0.51","0.51","0.51"
"55","0.506","0.506","0.506"
"56","0.504","0.504","0.504"
"57","0.506","0.506","0.506"
"58","0.506","0.506","0.506"
"59","0.508","0.508","0.508"
"60","0.506","0.506","0.506"
"61","0.506","0.506","0.506"
"62","0.506","0.506","0.506"
"63","0.506","0.506","0.506"
"64","0.504","0.504","0.504"
"65","0.506","0.506","0.506"
"66","0.506","0.506","0.506"
"67","0.504","0.504","0.504"
"68","0.506","0.506","0.506"
"69","0.506","0.506","0.506"
"70","0.506","0.506","0.506"
"71","0.504","0.504","0.504"
"72","0.504","0.504","0.504"
"73","0.504","0.504","0.504"
"74","0.508","0.508","0.508"
"75","0.508","0.508","0.508"
"76","0.504","0.504","0.504"
"77","0.506","0.506","0.506"
"78","0.506","0.506","0.506"
"79","0.504","0.504","0.504"
"80","0.502","0.502","0.502"
"81","0.506","0.506","0.506"
"82","0.504","0.504","0.504"
"83","0.502","0.502","0.502"
"84","0.506","0.506","0.506"
"85","0.504","0.504","0.504"
"86","0.504","0.504","0.504"
"87","0.502","0.502","0.502"
"88","0.504","0.504","0.504"
"89","0.504","0.504","0.504"
"90","0.504","0.504","0.504"
"91","0.504","0.504","0.504"
"92","0.504","0.504","0.504"
"93","0.506","0.506","0.506"
"94","0.506","0.506","0.506"
"95","0.504","0.504","0.504"
"96","0.504","0.504","0.504"
"97","0.506","0.506","0.506"
"98","0.504","0.504","0.504"
"99","0.506","0.506","0.506"
"100","0.506","0.506","0.506"
"101","0.506","0.506","0.506"
"102","0.504","0.504","0.504"
"103","0.504","0.504","0.504"
"104","0.504","0.504","0.504"
"105","0.504","0.504","0.504"
"106","0.502","0.502","0.502"
"107","0.502","0.502","0.502"
"108","0.504","0.504","0.504"
"109","0.504","0.504","0.504"
"110","0.502","0.502","0.502"
"111","0.506","0.506","0.506"
"112","0.504","0.504","0.504"
"113","0.502","0.502","0.502"
"114","0.502","0.502","0.502"
"115","0.504","0.504","0.504"
"116","0.504","0.504","0.504"
"117","0.506","0.506","0.506"
"118","0.506","0.506","0.506"
"119","0.502","0.502","0.502"
"120","0.504","0.504","0.504"
"121","0.504","0.504","0.504"
"122","0.506","0.506","0.506"
"123","0.506","0.506","0.506"
"124","0.504","0.504","0.504"
"125","0.504","0.504","0.504"
"126","0.504","0.504","0.504"
"127","0.504","0.504","0.504"
"128","0.504","0.504","0.504"
"129","0.504","0.504","0.504"
"130","0.504","0.504","0.504"
"131","0.504","0.504","0.504"
"132","0.504","0.504","0.504"
"133","0.504","0.504","0.504"
"134","0.504","0.504","0.504"
"135","0.504","0.504","0.504"
"136","0.504","0.504","0.504"
"137","0.504","0.504","0.504"
"138","0.504","0.504","0.504"
"139","0.504","0.504","0.504"
"140","0.504","0.504","0.504"
"141","0.504","0.504","0.504"
"142","0.504","0.504","0.504"
"143","0.504","0.504","0.504"
"144","0.504","0.504","0.504"
"145","0.504","0.504","0.504"
"146","0.504","0.504","0.504"
"147","0.504","0.504","0.504"