"Step","MLM / Mixed Experiment / Large - antonym-negation","MLM / Mixed Experiment / Large - antonym-negation__MIN","MLM / Mixed Experiment / Large - antonym-negation__MAX"
"0","0.51","0.51","0.51"
"1","0.528","0.528","0.528"
"2","0.54","0.54","0.54"
"3","0.522","0.522","0.522"
"4","0.526","0.526","0.526"
"5","0.572","0.572","0.572"
"6","0.502","0.502","0.502"
"7","0.562","0.562","0.562"
"8","0.524","0.524","0.524"
"9","0.524","0.524","0.524"
"10","0.508","0.508","0.508"
"11","0.526","0.526","0.526"
"12","0.506","0.506","0.506"
"13","0.502","0.502","0.502"
"14","0.498","0.498","0.498"
"15","0.504","0.504","0.504"
"16","0.518","0.518","0.518"
"17","0.502","0.502","0.502"
"18","0.512","0.512","0.512"
"19","0.52","0.52","0.52"
"20","0.504","0.504","0.504"
"21","0.516","0.516","0.516"
"22","0.512","0.512","0.512"
"23","0.508","0.508","0.508"
"24","0.516","0.516","0.516"
"25","0.508","0.508","0.508"
"26","0.502","0.502","0.502"
"27","0.504","0.504","0.504"
"28","0.548","0.548","0.548"
"29","0.508","0.508","0.508"
"30","0.556","0.556","0.556"
"31","0.552","0.552","0.552"
"32","0.536","0.536","0.536"
"33","0.526","0.526","0.526"
"34","0.526","0.526","0.526"
"35","0.554","0.554","0.554"
"36","0.568","0.568","0.568"
"37","0.556","0.556","0.556"
"38","0.512","0.512","0.512"
"39","0.526","0.526","0.526"
"40","0.526","0.526","0.526"
"41","0.514","0.514","0.514"
"42","0.538","0.538","0.538"
"43","0.516","0.516","0.516"
"44","0.524","0.524","0.524"
"45","0.514","0.514","0.514"
"46","0.526","0.526","0.526"
"47","0.572","0.572","0.572"
"48","0.53","0.53","0.53"
"49","0.552","0.552","0.552"
"50","0.536","0.536","0.536"
"51","0.52","0.52","0.52"
"52","0.536","0.536","0.536"
"53","0.562","0.562","0.562"
"54","0.536","0.536","0.536"
"55","0.594","0.594","0.594"
"56","0.552","0.552","0.552"
"57","0.596","0.596","0.596"
"58","0.554","0.554","0.554"
"59","0.582","0.582","0.582"
"60","0.558","0.558","0.558"
"61","0.544","0.544","0.544"
"62","0.606","0.606","0.606"
"63","0.62","0.62","0.62"
"64","0.54","0.54","0.54"
"65","0.576","0.576","0.576"
"66","0.56","0.56","0.56"
"67","0.552","0.552","0.552"
"68","0.558","0.558","0.558"
"69","0.54","0.54","0.54"
"70","0.566","0.566","0.566"
"71","0.55","0.55","0.55"
"72","0.604","0.604","0.604"
"73","0.558","0.558","0.558"
"74","0.574","0.574","0.574"
"75","0.608","0.608","0.608"
"76","0.568","0.568","0.568"
"77","0.564","0.564","0.564"
"78","0.536","0.536","0.536"
"79","0.534","0.534","0.534"
"80","0.534","0.534","0.534"
"81","0.53","0.53","0.53"
"82","0.536","0.536","0.536"
"83","0.53","0.53","0.53"
"84","0.542","0.542","0.542"
"85","0.54","0.54","0.54"
"86","0.532","0.532","0.532"
"87","0.548","0.548","0.548"
"88","0.556","0.556","0.556"
"89","0.53","0.53","0.53"
"90","0.542","0.542","0.542"
"91","0.552","0.552","0.552"
"92","0.578","0.578","0.578"
"93","0.546","0.546","0.546"
"94","0.572","0.572","0.572"
"95","0.552","0.552","0.552"
"96","0.534","0.534","0.534"
"97","0.54","0.54","0.54"
"98","0.552","0.552","0.552"
"99","0.552","0.552","0.552"
"100","0.554","0.554","0.554"
"101","0.548","0.548","0.548"
"102","0.552","0.552","0.552"
"103","0.546","0.546","0.546"
"104","0.55","0.55","0.55"
"105","0.546","0.546","0.546"
"106","0.544","0.544","0.544"
"107","0.548","0.548","0.548"